,p,r,m,n,n_pages
0,15.990453460620524,22.185430463576157,50,10,419
1,11.267605633802818,26.490066225165563,100,10,710
2,10.655737704918032,34.437086092715234,200,10,976
3,9.31174089068826,38.079470198675494,300,10,1235
4,9.025270758122744,41.390728476821195,400,10,1385
5,7.797878976918278,41.390728476821195,500,10,1603
6,8.515671200473093,47.682119205298015,600,10,1691
7,7.533875338753387,46.026490066225165,700,10,1845
8,7.289066400399401,48.34437086092716,800,10,2003
9,7.482352941176471,52.64900662251656,900,10,2125
10,7.032667876588023,51.324503311258276,1000,10,2204
11,5.336642879304995,56.95364238410596,2500,10,3223
12,4.72550382209868,67.54966887417218,5000,10,4317
13,4.131584100254552,69.86754966887418,7500,10,5107
14,3.8685744568097507,72.51655629139073,10000,10,5661
15,3.5107961101038407,70.52980132450331,12500,10,6067
16,11.124845488257108,29.80132450331126,50,25,809
17,7.770800627943484,32.78145695364238,100,25,1274
18,7.262569832402235,43.04635761589404,200,25,1790
19,7.223264540337711,50.993377483443716,300,25,2132
20,5.559815950920245,48.01324503311258,400,25,2608
21,5.570560432140446,54.63576158940398,500,25,2962
22,4.856972586412396,53.973509933774835,600,25,3356
23,4.804372842347526,55.29801324503312,700,25,3476
24,4.602287842511306,57.284768211920536,800,25,3759
25,4.740817921333681,60.264900662251655,900,25,3839
26,4.519230769230769,62.251655629139066,1000,25,4160
27,3.2911392405063293,68.87417218543047,2500,25,6320
28,2.7043269230769234,74.50331125827815,5000,25,8320
29,2.3468575974542563,78.1456953642384,7500,25,10056
30,2.163181042994345,79.80132450331125,10000,25,11141
31,2.053438891637803,82.45033112582782,12500,25,12126
32,8.458961474036851,33.443708609271525,50,50,1194
33,6.823027718550106,42.384105960264904,100,50,1876
34,5.838847800700662,49.668874172185426,200,50,2569
35,4.957420924574209,53.973509933774835,300,50,3288
36,4.760594386351128,57.284768211920536,400,50,3634
37,4.370629370629371,57.94701986754966,500,50,4004
38,3.857890148212729,58.609271523178805,600,50,4588
39,3.85702746365105,63.24503311258278,700,50,4952
40,3.692482484377959,64.56953642384106,800,50,5281
41,3.3853709875460445,63.90728476821192,900,50,5701
42,3.3468559837728193,65.56291390728477,1000,50,5916
43,2.48634184412978,73.84105960264901,2500,50,8969
44,2.0129162123626605,79.47019867549669,5000,50,11923
45,1.7868629833464371,82.78145695364239,7500,50,13991
46,1.6765159301130526,86.42384105960265,10000,50,15568
47,1.5716264225928824,86.42384105960265,12500,50,16607
48,7.87153652392947,41.390728476821195,50,100,1588
49,5.254963020630596,44.70198675496689,100,100,2569
50,4.6137339055794,56.95364238410596,200,100,3728
51,3.9525691699604746,59.60264900662252,300,100,4554
52,3.4045008655510673,58.609271523178805,400,100,5199
53,3.189300411522634,61.58940397350994,500,100,5832
54,3.038371182458888,64.23841059602648,600,100,6385
55,3.1030444964871196,70.19867549668875,700,100,6832
56,2.9221691486372574,68.87417218543047,800,100,7118
57,2.7258566978193146,69.5364238410596,900,100,7704
58,2.5653554849743463,69.5364238410596,1000,100,8186
59,1.9673503557974048,77.81456953642383,2500,100,11945
60,1.6410455990140755,83.77483443708608,5000,100,15417
61,1.4578926304956834,84.43708609271523,7500,100,17491
62,1.358581619806966,85.76158940397352,10000,100,19064
63,1.306837648671137,88.41059602649007,12500,100,20431
64,5.331040412725709,41.05960264900662,50,200,2326
65,4.8047117172969624,51.324503311258276,100,200,3226
66,3.4734216081366345,59.93377483443708,200,200,5211
67,3.1159543674442363,60.59602649006622,300,200,5873
68,2.7673480739813656,65.89403973509934,400,200,7191
69,2.5792377774926214,66.55629139072848,500,200,7793
70,2.6375462465688027,73.17880794701986,600,200,8379
71,2.479990981850975,72.84768211920529,700,200,8871
72,2.2659694452988823,73.17880794701986,800,200,9753
73,2.1591912847188146,72.84768211920529,900,200,10189
74,2.1670943826632447,75.49668874172185,1000,200,10521
75,1.6265582294513699,80.79470198675497,2500,200,15001
76,1.4003648460135207,86.42384105960265,5000,200,18638
77,1.2841399137517968,88.74172185430463,7500,200,20870
78,1.2114438980777826,89.73509933774835,10000,200,22370
79,1.148936170212766,89.40397350993378,12500,200,23500
80,4.864463423691051,43.377483443708606,50,300,2693
81,4.244567963617989,55.62913907284768,100,300,3958
82,3.229706390328152,61.920529801324506,200,300,5790
83,2.8246144977662486,64.90066225165563,300,300,6939
84,2.6305900037579857,69.5364238410596,400,300,7983
85,2.4253312373680664,71.52317880794702,500,300,8906
86,2.3035787741670095,74.17218543046357,600,300,9724
87,2.1931962179549664,74.50331125827815,700,300,10259
88,2.0463600144875045,74.83443708609272,800,300,11044
89,1.9756309834638817,75.16556291390728,900,300,11490
90,1.9713410088627517,78.80794701986756,1000,300,12073
91,1.5107913669064748,83.44370860927152,2500,300,16680
92,1.2772388241602886,86.75496688741721,5000,300,20513
93,1.191313522067874,89.73509933774835,7500,300,22748
94,1.1301084236864054,89.73509933774835,10000,300,23980
95,1.1037970618929116,91.05960264900662,12500,300,24914
96,5.170068027210884,50.331125827814574,50,400,2940
97,3.6614258022830066,56.29139072847682,100,400,4643
98,2.93850348379279,64.23841059602648,200,400,6602
99,2.779269602577873,68.54304635761589,300,400,7448
100,2.301956122338701,70.52980132450331,400,400,9253
101,2.1802471616598007,71.8543046357616,500,400,9953
102,2.171256697057994,76.49006622516556,600,400,10639
103,2.028149313751202,76.82119205298014,700,400,11439
104,1.8889524899828276,76.49006622516556,800,400,12229
105,1.81190681622088,76.49006622516556,900,400,12749
106,1.8156007172743576,80.4635761589404,1000,400,13384
107,1.4682342551195011,88.0794701986755,2500,400,18117
108,1.218049275629787,87.41721854304636,5000,400,21674
109,1.1379559254384104,88.74172185430463,7500,400,23551
110,1.0547184773988898,88.0794701986755,10000,400,25220
111,1.0372734526387781,90.39735099337747,12500,400,26319
112,4.632072705951334,52.317880794701985,50,500,3411
113,3.585019026637292,59.27152317880795,100,500,4993
114,2.820078962210942,66.22516556291392,200,500,7092
115,2.406795658329401,67.54966887417218,300,500,8476
116,2.2794643769804765,73.84105960264901,400,500,9783
117,2.156282797442992,74.83443708609272,500,500,10481
118,2.018014896934003,77.15231788079471,600,500,11546
119,1.8990423632527187,77.48344370860927,700,500,12322
120,1.8560399282539188,78.80794701986756,800,500,12823
121,1.7700442511062775,78.1456953642384,900,500,13333
122,1.7365825770027872,80.4635761589404,1000,500,13993
123,1.410324640766365,87.74834437086093,2500,500,18790
124,1.18921308576481,89.0728476821192,5000,500,22620
125,1.110525675839987,90.72847682119205,7500,500,24673
126,1.0473413642292642,90.39735099337747,10000,500,26066
127,1.0144232542697997,91.05960264900662,12500,500,27109
128,4.554079696394687,55.62913907284768,50,600,3689
129,3.407576622882163,59.27152317880795,100,600,5253
130,2.738643844634628,68.87417218543047,200,600,7595
131,2.3392461197339247,69.86754966887418,300,600,9020
132,2.167122217883639,73.50993377483444,400,600,10244
133,2.058089807555239,76.49006622516556,500,600,11224
134,1.8988902589395809,76.49006622516556,600,600,12165
135,1.8397672773016749,77.48344370860927,700,600,12719
136,1.7870221180606418,80.79470198675497,800,600,13654
137,1.6737866797394776,79.13907284768213,900,600,14279
138,1.6351177149060319,79.80132450331125,1000,600,14739
139,1.3393777045126727,86.09271523178808,2500,600,19412
140,1.1514005842928339,88.74172185430463,5000,600,23276
141,1.0724706253450043,90.06622516556291,7500,600,25362
142,1.0064728551651887,89.0728476821192,10000,600,26727
143,1.0010082097076192,92.05298013245033,12500,600,27772
144,3.9651070578905627,49.668874172185426,50,700,3783
145,3.2953105196451205,60.264900662251655,100,700,5523
146,2.5940496680599954,69.86754966887418,200,700,8134
147,2.1807178631051753,69.20529801324503,300,700,9584
148,2.104787714543812,77.15231788079471,400,700,11070
149,1.9955842391304348,77.81456953642383,500,700,11776
150,1.8803282606963587,78.1456953642384,600,700,12551
151,1.7980221756068324,79.47019867549669,700,700,13348
152,1.7252396166134185,80.4635761589404,800,700,14085
153,1.6793581724231712,81.78807947019867,900,700,14708
154,1.6428851943971725,83.11258278145695,1000,700,15278
